skor_pemrograman,skor_analisis_data,skor_jaringan,skor_desain,skor_manajemen,target_karier
3.0,3.0,2.333333333,2.333333333,2.666666667,Software Engineer
3.333333333,3.666666667,4.333333333,4.666666667,3.333333333,IT Project Manager
1.333333333,3.333333333,2.666666667,2.666666667,2.333333333,IT Project Manager
3.0,3.0,3.0,3.0,3.666666667,IT Project Manager
3.333333333,1.666666667,1.333333333,5.0,3.0,UI/UX Designer
3.0,4.333333333,3.333333333,4.0,4.0,Data Scientist
2.333333333,2.0,2.666666667,4.0,3.666666667,UI/UX Designer
1.666666667,1.333333333,1.333333333,2.333333333,2.0,IT Project Manager
5.0,4.333333333,4.666666667,4.0,3.666666667,Software Engineer
2.333333333,2.0,2.0,2.666666667,2.666666667,Data Scientist
2.0,2.333333333,2.0,3.0,3.0,Data Scientist
3.0,3.0,3.0,3.0,3.0,Database Administrator
3.0,4.0,1.666666667,2.666666667,3.666666667,Data Scientist
4.0,3.333333333,3.0,5.0,4.333333333,Software Engineer
3.666666667,3.666666667,3.333333333,3.0,3.0,Software Engineer
2.333333333,2.666666667,2.0,3.0,3.0,Data Scientist
3.333333333,4.666666667,2.0,3.666666667,3.333333333,Data Scientist
2.0,1.666666667,2.0,2.0,2.0,Database Administrator
2.0,2.0,2.0,2.0,2.0,IT Project Manager
2.666666667,4.0,2.0,3.666666667,3.333333333,UI/UX Designer
4.333333333,4.0,2.666666667,3.666666667,3.0,Data Scientist
2.0,2.0,2.0,3.0,3.0,Software Engineer
3.0,2.666666667,1.666666667,3.666666667,3.333333333,Database Administrator
2.0,2.666666667,2.0,2.333333333,2.333333333,UI/UX Designer
2.666666667,4.0,1.666666667,2.333333333,3.0,Data Scientist
3.0,2.333333333,2.666666667,2.666666667,2.666666667,IT Project Manager
2.666666667,1.0,1.333333333,3.333333333,2.666666667,UI/UX Designer
3.666666667,3.0,3.666666667,3.666666667,3.0,Data Scientist
2.333333333,2.333333333,2.0,3.0,3.0,UI/UX Designer
2.666666667,3.0,3.0,2.666666667,3.0,Data Scientist
4.0,3.0,3.666666667,3.666666667,3.666666667,Data Scientist
4.333333333,4.0,3.666666667,4.666666667,4.666666667,Software Engineer
3.0,3.0,3.0,3.0,3.0,Network Engineer
2.333333333,4.0,3.0,2.0,3.0,Data Scientist
3.0,3.0,3.0,3.0,3.0,UI/UX Designer
1.666666667,2.333333333,2.0,2.333333333,3.0,Data Scientist
2.666666667,2.333333333,3.0,2.666666667,3.0,IT Project Manager
2.0,2.333333333,2.0,2.0,3.333333333,Data Scientist
5.0,4.666666667,5.0,4.666666667,3.666666667,DevOps Engineer
3.0,1.333333333,3.0,3.0,4.0,Software Engineer
2.0,2.0,2.0,2.0,2.0,Database Administrator
2.333333333,1.666666667,2.666666667,4.0,3.333333333,IT Project Manager
2.333333333,2.333333333,2.666666667,2.333333333,3.333333333,UI/UX Designer
2.0,1.333333333,2.0,1.333333333,1.666666667,IT Project Manager
3.0,4.0,3.666666667,4.0,3.333333333,IT Project Manager
3.0,1.666666667,1.666666667,3.0,3.0,IT Project Manager
2.0,2.666666667,2.0,2.333333333,2.0,Data Scientist
2.0,2.0,2.0,2.0,2.0,Software Engineer
2.666666667,3.0,2.333333333,4.0,3.666666667,UI/UX Designer
4.333333333,3.333333333,2.0,4.333333333,2.333333333,Software Engineer
2.0,1.333333333,1.333333333,1.333333333,2.0,Database Administrator
2.0,2.0,2.0,2.0,2.0,UI/UX Designer
2.0,1.666666667,2.0,1.666666667,2.333333333,UI/UX Designer
1.333333333,3.0,1.333333333,3.666666667,3.333333333,UI/UX Designer
2.666666667,2.666666667,2.666666667,3.333333333,3.0,Software Engineer
2.0,1.666666667,1.0,2.0,2.0,UI/UX Designer
3.0,3.0,2.666666667,3.666666667,3.0,UI/UX Designer
1.333333333,1.333333333,1.333333333,2.333333333,2.333333333,Database Administrator
4.0,3.333333333,4.0,3.666666667,4.333333333,Data Scientist
2.666666667,2.0,1.333333333,3.0,2.666666667,UI/UX Designer
3.333333333,2.666666667,2.333333333,3.0,3.0,Software Engineer
2.666666667,3.333333333,2.666666667,4.0,4.333333333,Data Scientist
4.0,5.0,3.0,4.0,4.333333333,Data Scientist
2.333333333,1.333333333,1.666666667,1.666666667,1.666666667,UI/UX Designer
2.0,5.0,1.0,1.666666667,3.0,Data Scientist
2.333333333,3.0,2.0,3.0,3.0,UI/UX Designer
4.0,1.0,2.0,3.333333333,3.666666667,Software Engineer
2.333333333,1.666666667,2.0,3.333333333,4.0,Software Engineer
3.0,2.666666667,2.333333333,3.0,2.666666667,UI/UX Designer
2.0,2.0,2.0,2.666666667,3.0,Data Scientist
3.333333333,3.333333333,4.0,3.666666667,4.0,Data Scientist
2.0,1.333333333,1.333333333,2.333333333,2.0,Database Administrator
2.0,2.0,1.333333333,4.666666667,4.0,UI/UX Designer
2.333333333,3.0,2.0,3.333333333,2.333333333,UI/UX Designer
2.0,2.0,4.0,3.0,3.0,Software Engineer
2.0,2.0,2.0,2.0,2.333333333,Database Administrator
2.0,2.666666667,2.666666667,2.666666667,2.666666667,UI/UX Designer
2.0,2.0,1.0,2.666666667,3.0,IT Project Manager
1.0,1.0,1.0,1.0,1.0,IT Project Manager
5.0,3.666666667,5.0,5.0,5.0,UI/UX Designer
